user	date	time	text																								
MajorPlasticFishBowl	10/27/2007	10:05 PM	"


Re: How We Get Brainwashed!




I have a Mexican teacher who teaches my History class and she is always trying to tell how great blacks and Mexicans and women are and how cruel and inferior white men are. She told our class the KKK was started to eliminate the black race and when I said that it was started to fight Yankee soldiers occupying the South I was sent to the priciple's office and wrote up. She talks about how many great contributions blacks have made and when I asked her to name one that didnt have to do eith civil rights I was sent to the office again. So they do brainwash us at school. If only the Klan was still active in my region we coukld do something about it but now there is nothing i can do.



"																								
op135	10/28/2007	1:29 AM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by MajorPlasticFishBowl


I have a Mexican teacher who teaches my History class and she is always trying to tell how great blacks and Mexicans and women are and how cruel and inferior white men are. She told our class the KKK was started to eliminate the black race and when I said that it was started to fight Yankee soldiers occupying the South I was sent to the priciple's office and wrote up. She talks about how many great contributions blacks have made and when I asked her to name one that didnt have to do eith civil rights I was sent to the office again. So they do brainwash us at school. If only the Klan was still active in my region we coukld do something about it but now there is nothing i can do.


needless to say, your teacher is a prime example of society; it is sad when the teachers are brainwashed!


"																								
marquis013	10/28/2007	9:40 AM	"


Re: How We Get Brainwashed!


If whites, and society in general, can be influenced to accept mixed race breeding through the use of ''possitive'' (in that it's presented as good for us all) media images, then how is society influenced by persistant, negative media images of white males? 
I think I know the answer, and that's why I say that the New Jew of the 21st century is the [conservative] white male, as we are portrayed in modern media in very much the same way as were the Jews of Nazi propaganda. 
And we all know how that turned out.
Quote:


Originally Posted by Dr. Ford


I was once told by a professor that there are two main categories of techniques the media uses to influence people. I don't recall if there are technical terms for each of them. 
The first way is the ""direct"" approach whereby the TV ""tells people what the heck to do"", e.g., ""don't do drugs"", ""eat your vegetables"", ""marry Negroes"", etc. This approach is not very effective.
The other, indirect, approach is to constantly provide examples of other people behaving in a certain way. e.g., Blacks and Whites marrying, every show having main characters that are opposed to ""racism"", Black or Mexicans that behave as though they are good members of society or even that act much like Whites (e.g., The Jeffersons). This latter approach has been shown to be very effective.
In his 2005 EURO speech, Nick Griffin (the chairman of the BNP) made similar observations about the WN movement. Griffin said that the vast majority of people cannot wake up from something they read. Instead, they have to see others behaving in a certain way before they can accept a new way of thinking or behaving.
It is perhaps a sad commentary on the mindset of the common man, but as Griffin said, ""There you are."", i.e., it is a fact we have to accept.
That said, there are many, many people in our population who can be awoken by something they read or hear and we have to try to reach those first because we will need their help to get the numbers we'll need to implement the indirect approach (well, at least, outside of PLEs).





"																								
Coldstar	10/28/2007	11:09 AM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by MajorPlasticFishBowl


I have a Mexican teacher who teaches my History class and she is always trying to tell how great blacks and Mexicans and women are and how cruel and inferior white men are. She told our class the KKK was started to eliminate the black race and when I said that it was started to fight Yankee soldiers occupying the South I was sent to the priciple's office and wrote up. She talks about how many great contributions blacks have made and when I asked her to name one that didnt have to do eith civil rights I was sent to the office again. So they do brainwash us at school. If only the Klan was still active in my region we coukld do something about it but now there is nothing i can do.


She should be forced to stop teaching those things. Have you no recourse? Her attempt at brainwashing is not exactly a science but rather originates in the racial bias of her own mind.




__________________
$
$............$
...$... 
$............$
$JEWMERICAKeep Stormfront Alive & Growing


"																								
Coldstar	10/28/2007	12:12 PM	"


Re: How We Get Brainwashed!


Opinions can be changed by persuasion, deceit, intimitation, or force. Those whom we trust can most easily shape our opinions. Democratic governments use social psychology to subvert the natural thoughts of the people not excluding a science of deceit. So far we have not been forced to walk around with implanted chips which give us pain when the chip records ""unpopular"" thoughts or chips which put thoughts into our minds making us believe that they are our own thoughts. I hope that the technology of that last chip will never come true or we would all become mere robots for an unsavory Elite.


"																								
The Gnostic	10/28/2007	1:54 PM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by MajorPlasticFishBowl

I have a Mexican teacher who teaches my History class and she is always trying to tell how great blacks and Mexicans and women are and how cruel and inferior white men are....


This is where knowing the law becomes very key. Contrary to popular belief, the legislation can, and does work. If you truly wish to have her removed, you need to contact the educational commission. I am quite sure that the member's here will help you to write a very thorough letter in reference to her terrible conduct. Know how to play the game kiddo, and threaten to go public! Don't mention the KKK, or anything relating to White Nationalism, however, you will want to mention the part that I quoted from you above. Don't let personal feelings, and/or beliefs get in the way of your words. Focus on her discrimination, as well as her betrayal of you. Know the game, and play it well....! 
God Bless,
-The Gnostic




__________________""He who refuses to pass through the door of My mercy, must pass through the door of My justice""...


"																								
Christian_Identity	10/28/2007	2:18 PM	"


Re: How We Get Brainwashed!


This is an example of youth programming or brainwashing, if you will, that is alive today and aimed directly at our Jr. High aged children. 
[ame=""http://www.youtube.com/watch?v=WLgxHY5AAkU""]YouTube - Degrassi - Gay[/ame]
Degrassi is a Canadian-made program that now airs on local channels for average kids watching TV after school. 
""They're gay, that's just what they do.""
This example applies to every moral principle Whites have ever had. From natural marital relations to chivalry and honor. All are attacked equally to convince children that even if their parents are decent and concerned with rearing good kids, they are the enemy teaching things that don't make sense to kids in this ""New Age"". 
Even if you do what's right, the kids still go to the government programming facilities to receive their daily dosage of tolerance, multiculturalism, and (hopefully) reading. The only way around it is to continuously debrief the children at the end of each school day and remove them from school on days when the officials are teaching nonsense. 
Turning women against the family was the first step, then we saw the beginning of children turning against their parents ""traditional"" ways. All has been brought to us by the press in all its various forms. Removing a TV from one's life is like pulling your plug from the world around you, though. How will you know which way the seas are being swayed? It's of utmost importance for us to move together and start creating our own video productions and such to counter this anti-European movement.


"																								
Teutonic Prince	10/28/2007	2:49 PM	"


Re: How We Get Brainwashed!


Ah, the ""brainwashing"" process, so simple, yet so misunderstood by the garden variety lemming.
A previous poster had mentioned ""conditioning,"" and that is what brainwashing comes down to, psychological conditioning.
Most of us know of Pavlov and his experiments with dogs. Pavlov gave a meat power to dogs paired with the ringing of a bell. As a physiological response the dogs would salivate when the meat powder was given. Over time, though, the dogs would also salivate with just the sound of the bell without the meat powder, and the dogs had learned to associate the two stimuli together. Pavlov also observed that over time when the bell was rung and the meat powder was no longer given the dogs would no longer salivate (extinction). This is what is called classical or Pavlovian conditioning.
Fast forward about 50 years or so, and we see Skinner's theory of ""Operant Conditioning."" Operant Conditioning is based on reinforcement and punishment, and here we get down to the nitty-gritty of how the brainwashing process begins.
We have positive reinforcement, negative reinforcement, positive punishment, and negative punishment---positive and negative not being in the sense ""good or bad,"" but in the sense of more add and subtract.
We also see Albert Bandura's theory of social/observational learning or ""modeling"" come in to play, which is pretty much common sense nowadays. We simply learn behaviors and shape our ideas by what we are exposed to.
So, if we apply operant conditioning in conjunction with observational learning, we can see how the masses get ""conditioned"" or ""brainwashed.""
It can start at home, but not necessarily, with liberal parents, who have been previously conditioned, who teach their children liberal values and ""positively reinforce"" anti-racism by simply adding a pleasant stimulus when a child exhibits the behavior, which could be as simply as ""Good boy/girl."" The parents also can positively punish (adding something unpleasant, like a stern lecture or spanking) or negatively punish (taking away something pleasurable, like toys) race favoritism, which most children naturally exhibit.
Society at large, especially at the institutional level also reinforce anti-racism and punish race favoritism, as we all know. At school, little Johnny gets great comments from his teacher and an A+ on his paper about Martin Luther King Jr., whereas little Timmy gets called to the principal's office, gets and F, and suspended for his paper questioning the validity of the Holocaust. Also, early on conditioning occurs, and we learn there can be an unpleasant social backlash for not being anti-racist or politically correct, so that anti-racist behavior is exhibited to avoid an unpleasant social response (negative reinforcement).
Now we get into the real kicker, the observational learning. Albeit, the reinforcement seems enough to effectively condition, but it is not. Just as in Pavlov's dogs, once the meat and bell were no longer paired together, the dogs quite salivating at the bell. The same occurs in operant conditioning as well when a behavior is no longer reinforced or punished. Us who have young kids know this well, and it doesn't take long. If you let your kids get away with something a couple of times that you have taught them not to do and usually punish them for, and it will be like they never knew the rule.
This is where the media comes in. We pass through schools, move away from our parents', and move from social situation to social situation, but the ever-looming presence of the media and pop-culture is always there. Here, we see movies, TV shows, news broadcasts, music, magazines, etc, all cementing into place the liberal, anti-racist, multicultural, politically correct, miscegenation-promoting agenda of the Jew.
Notice, too, the psychologists (Pavlov, Skinner, and Bandura) who came up with these theories were all White men, non-Jews. At the time Skinner's theories were presented, his more harsh critics were Jews. Could it be possible the Jews in their never ceasing psy-ops attempts already knew the power of conditioning and were attempting to discredit and/or silence Skinner?


"																								
Celtic Lad	10/28/2007	3:17 PM	"


Re: How We Get Brainwashed!


Brainwashing is not a suitable word for this practice as it would imply ""cleaning"" which obviously is a far cry from the truth. Semantics aside; this is a good thread with a great potential for enlightenment.
I have to agree that the less obvious forms of ""brainwashing"" are effective, it is unfortunate that some people are incapable of independant thought to question the status quo. Canada is a poor example of ""free speech:"" Censorship ties into brainwashing as it is a means to controlling which material is predominantly seen, or at least seen in a good light.
The ""Degrassi"" series is far out in left field, I am surprised that teenagers(the target of this tripe) cannot recognize with disgust, the obvious inconsistencies. A ""documentary"" about Ruby Ridge was wrought with lies with a sole purpose to sway public opinion in favor of the oppressors. Beginning as children, the system infects babies, toddlers and up with age specific multicult toys: Whether it be a cabbage patch coon or sesame street for the older, baby einstein down to be bop jibe ... Despicable: Until ou see the reactions of ""adults"" as they plop down in front of the tube to watch dozens of black athletes chase a pigskin around a field.
Perhaps a totally unrelated ""study"" the Malgram experiment which apparently suggests the average person will comply with commands they think are harming another... just because they were told to? and reassured to continue... Perhaps may be a poor example to the passive nature of some people. Which raises another question: Do lemmings actually care if they are brainwashed or not? The most passive dolt will deny vehemently, of such conditioning. How we recognize what is happening yet masses do not: Are they afraid to vocalize? do they ""go along"" but secretly oppose? genuinely a mental basket case? How is it that only some of us escape the clutches of mind numbness while it seems the majority continue on as cows to the slaughter?


"																								
Coldstar	10/29/2007	3:22 AM	"


Re: How We Get Brainwashed!


How can we guard ourselves against brainwashing. We cannot avoid conditioning, because it always surrounds us, the Liberals make sure of that. Their comments and influence are everywhere, all the time. 
I think that we first have to reflect on the way we think. Many of us are confused by what we hear and what we are told to believe. Being able to meet with other strong willed people will be helpful. Determine who the enemy is and consider the methods this enemy may be using to gain your trust and shape your opinion.
Many times brainwashing as a tool exploits people's virtues such as generosity, pity, and benevolence. We want to do what is right and unsuspectingly we open the door to the foe and work his will.
We have been brainwashed into working hard, paying taxes, and not to overpopulate our planet. While we whites were obedient sheep, we were outnumbered swiftly by non-whites who had no such concerns and who were too often helped out with our tax money. Before we knew it they invaded our lands and are in the process of taking over. All of this was done while we were told and believed that our actions were good. After that came the adoptions of non-white babies from other lands by whites in our nations. The brainwashed people who did this thought of themselves as being extra special bleeding heart do-gooders, yet they greatly contribute to the satisfaction of the enemy who wants controlled havoc to reign superior.
Becoming uncompromising and wary at all times, working on the power of resistance and attempting to influence the undecided can go a long way to help us become our own person, somebody who can use and apply his/her own thought processes. If there ever is a law in the country which forces us to believe something, we know automatically that what they tell us is not true!
One thing I discovered is that I always and without exception made a regrettable mistake if I did not follow my own instincts and allowed others to change my mind in a number of matters. So I think that always following your own instincts is one way to steer clear of brainwashing by the establishment.


"																								
marquis013	10/29/2007	9:38 PM	"


Re: How We Get Brainwashed!




How to stop it? For children: no TV, no radio, limited internet, private or home schooling.
There's a very interesting subject that I don't think's been mentioned: De-programming. Perhaps something along the lines of weekend seminars in which participants attend lectures, video presentations, shown horrid examples of anti-white male portrayals in the media and advertising etc. 
And speaking of persuasive video presentations: Has anyone seen the video known as ''Immigration gumballs''? It should be at You tube, google et. al. It's called gumballs because the presenter uses a large jar full of gumballs to represent immigrants. It's only 15 minutes and the most persuasive presentation I've ever seen. If people don't get it after seeing this...then they are hopeless. 
Such videos could be shown and lectures given to deprogram children and adults from anti-white brainwashing and conditioning. 



"																								
Coldstar	10/31/2007	1:08 AM	"


Re: How We Get Brainwashed!


We were trained in all phases of warfare, both psychological and physical for the destruction of the Capitalistic society and Christian civilization. In one portion of our studies we went thoroughly into the matter of psychopolitics. This was the art of capturing the minds of a nation through brainwashing and fake mental health... During the past few years I have noted with horror the increase of psychopolitical warfare upon the American public."" Kenneth Goff, member of the U.S. Communist Party from 1936 to 1939.
""...absolute behavior control is imminent.... The critical point of behavior control, in effect, is sneaking up on mankind without his self-conscious realization that a crisis is at hand. Man will... never self-consciously know that it has happened."" [1] Raymond Houghton, To Nurture Humaneness, ASCD (curriculum arm of the NEA), 1970
It means among other things that every person is expected to vote the party whom the opinion polls say is favored by most voters. 
Opinion polls will influence voters. They play on their emotions. That is why they are so commonly used around election time. These polls make it easy to put the desired candidate into a front runner. People need to request that such polls become outlawed close to any elections.
If you don't believe that these polls are a tool for brainwashing, then behavior control has already snuck up on you without you noticing it.




__________________
$
$............$
...$... 
$............$
$JEWMERICAKeep Stormfront Alive & Growing





Last edited by Coldstar; 10-31-2007 at 12:31 PM.



"																								
Coldstar	10/31/2007	1:20 PM	"


Re: How We Get Brainwashed!


Here are some comments on brainwashing which got me to think.
Mentioned are four basic tactics used to achieve mind control and allow for an individuals identity to be systematically manipulated and changed. These four things are remembered with the acronym BITE, and are behavior, information, thoughts and emotions.
Quote:

Behavior control starts with one persons regulation of another individuals physical reality. Our physical reality means the clothes we wear, the food we eat, the amount of sleep we get, how we spend our time and how we spend our money. There are rigid rules and regulations the controlled person is supposed to abide by regarding these. Over time, this behavior control fosters dependency. The controlled person gets used to not behaving autonomously.

Behavior control starts in childhood and is shared first by parents, then by the school system, and unfortunately, also by the invention of Television. Children are expected to conform.
The ""go along to get along"" advice sounds great in a morally civilized society, but unfortunately for us whites such a society lies in the past. It probably never existed in some places and was more likely concentrated in rural villages and towns. 
I think that parents of today should teach their children to become individuals, to be different when necessary, even if that means that the other children ridicule or bully them. Teaching children self-defence and taking them to marshall arts classes should bolster their self image. I tried to teach my sons that way and one of them was not all that appreciative of it until he grew up and realized the advantages he had gained over his peers.
I will try to continue this later.


"																								
Coldstar	11/1/2007	6:12 PM	"


Re: How We Get Brainwashed!


I am not a psychologist, but I am trying to use some common sense about brainwashing, its effects, and how to fight it.
The dialectical process, sowing discord, and playing both extremes off against each other is used for manipulation and mind control is a favorite tool of the Elite, especially of the Elite which takes orders from Jewish money lenders.
The animosities they generate render the masses incapable of noticing the true conspirators. Whoever is pushed out to be visible and to become hated will be the culprit in the mind of most people. 
It is stated in the Protocols of the Learned Elders of Zion (Protocol 7): Throughout all Europe, and by means of relations with Europe, in other continents also, we must create ferments, discords, and hostility. Therein we gain a double advantage. In the first place we keep in check all countries, for they well know that we have the power whenever we like to create disorders or to restore order. 
So certain are these people that their plans will work that they state:
""The peoples and governments of the GOYIM, whom we have taught to look only at the outside whatever we present to their notice, will still continue to accept us as the benefactors and saviours of the human race.""
(Prototcol 21): . We shall replace the money markets by grandiose government credit institutions, the object of which will be to fix the price of industrial values in accordance with government views. These institutions will be in a position to fling upon the market five hundred millions of industrial paper in one day, or to buy up for the same amount. In this way all industrial undertakings will come into dependence upon us. You may imagine for yourselves what immense power we shall thereby secure for ourselves ....
Overcoming the Jewish money powers and manipulators will be very difficult since we all have needs which money will cover. The corrupt money system forces us to go along to get along. It is because we have lost control over our money that it is so easy to manipulate and brainwash us.
We desperately require solutions on how to become independent from the wealthy controllers.
The Protocols: http://www.biblebelievers.org.au/prz...0of%20Contents


"																								
Douglas Fir	11/3/2007	3:47 PM	"


Re: How We Get Brainwashed!


An oldie, but goodie:Brainwashing - A Synthesis of the Russian Textbook on Psychopoliticshttp://www.lawfulpath.com/ref/brainwsh.shtml
To download it as a PDF http://ia300008.us.archive.org/3/ite...ainwashing.pdf
Some brainwashing articles here as well.http://100777.com/brainwashing


"																								
magdalen	11/3/2007	5:19 PM	"


Re: How We Get Brainwashed!




Quote:


Originally Posted by Dr. Ford


I was once told by a professor that there are two main categories of techniques the media uses to influence people. I don't recall if there are technical terms for each of them. 
The first way is the ""direct"" approach whereby the TV ""tells people what the heck to do"", e.g., ""don't do drugs"", ""eat your vegetables"", ""marry Negroes"", etc. This approach is not very effective.
The other, indirect, approach is to constantly provide examples of other people behaving in a certain way. e.g., Blacks and Whites marrying, every show having main characters that are opposed to ""racism"", Black or Mexicans that behave as though they are good members of society or even that act much like Whites (e.g., The Jeffersons). This latter approach has been shown to be very effective.
In his 2005 EURO speech, Nick Griffin (the chairman of the BNP) made similar observations about the WN movement. Griffin said that the vast majority of people cannot wake up from something they read. Instead, they have to see others behaving in a certain way before they can accept a new way of thinking or behaving.
It is perhaps a sad commentary on the mindset of the common man, but as Griffin said, ""There you are."", i.e., it is a fact we have to accept.
That said, there are many, many people in our population who can be awoken by something they read or hear and we have to try to reach those first because we will need their help to get the numbers we'll need to implement the indirect approach (well, at least, outside of PLEs).



Exactly!! Take Hollywood movies for instance, they make a movie where a black is always more intelligent and plays the role of the white guy's boss for instance. The black is usually portrayed as superior morally and intellectually and the white guy in need of the black guy's guidance support whatever. 
The idea is to create a FAKE reality for children that they totally embrace as truth. So in the back of their heads they leave the movie theatre believing that blacks are morally and intellectually superior to them, even if this fake ""knowledge"" is still merely the germ of an idea. Later ""knowledge"" in the form of more movies or conditioning by college professors etc, do the trick. and we have a white lemming.


"																								
magdalen	11/3/2007	5:28 PM	"


Re: How We Get Brainwashed!


Jews have researched ways and means of conditioning the masses for a long time. The Radio Project funded by Rockefeller was one such undertaking. The Milgram experiment is another, Milgram was a jewish psychologist who experimented on his students to see how far people will go in inflicting pain on their peers in order to obey what they thought was a ""authority figure"".
Quote:

The legal and philosophic aspects of obedience are of enormous importance, but they say very little about how most people behave in concrete situations. I set up a simple experiment at Yale University to test how much pain an ordinary citizen would inflict on another person simply because he was ordered to by an experimental scientist. Stark authority was pitted against the subjects' [participants'] strongest moral imperatives against hurting others, and, with the subjects' [participants'] ears ringing with the screams of the victims, authority won more often than not. The extreme willingness of adults to go to almost any lengths on the command of an authority constitutes the chief finding of the study and the fact most urgently demanding explanation.


Now today of course Jews are in many positions of authority over us so I think it's obvious to see the implications.
Here is some links to information about the ""Milgram experiment""http://en.wikipedia.org/wiki/Milgram_experimenthttp://www.age-of-the-sage.org/psych...xperiment.html


"																								
Coldstar	11/7/2007	1:24 AM	"


Re: How We Get Brainwashed!


Men and women become accomplices to the evils they fail to oppose. 
We have been brainwashed into not to oppose evil. In fact many among us are so hopelessly brainwashed that they verbally attack those who oppose the timeless traditional evil as being evil.
This happens in a society which has become a society of secular humanists. 
How did a formerly mainly Christian country change into a secular one? How did this happen? The answer is that young people’s values are shaped by the media, music, and school. Most of them attend public schools, where humanisticr education, moral relativism and situation ethics has been “preached” for decades. We are now into several brainwashed generations. 
Perhaps the Internet can help us to recover at least partly. In one way or another we have all been brainwashed since birth. If we cannot rescue ourselves, then we are headed into the total destruction of our traditional morals, our race, and eventually of our humanity.





Last edited by Coldstar; 11-07-2007 at 01:18 PM.



"																								
